City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,atchison,39.563,-95.1216,2.33,87,26,3.35,US,1701040963
120,priob'ye,62.5206,65.5964,-13.32,92,100,2.68,RU,1701040963
121,hermanus,-34.4187,19.2345,17.09,79,9,0.08,ZA,1701040964
122,dampit,-8.2116,112.7493,22.53,82,78,0.68,ID,1701040964
123,acarau,-2.8856,-40.12,26.88,73,28,7.55,BR,1701040964
124,zaozersk,69.4005,32.4476,-13.46,86,71,0.55,RU,1701040964
125,lihue,21.9789,-159.3672,26.58,73,75,7.72,US,1701040684
126,maymana,35.9214,64.7836,15.14,41,100,1.44,AF,1701040964
127,tanabe,33.7333,135.3667,10.56,71,75,0.51,JP,1701040964
128,stanley,54.868,-1.6985,3.2,93,75,0.51,GB,1701040700
129,hami,42.8,93.45,1.97,44,100,3.33,CN,1701040965
130,ribeira grande,38.5167,-28.7,18.21,97,100,6.26,PT,1701040965
131,grand rapids,42.9634,-85.6681,1.47,95,100,4.63,US,1701040965
132,darwin,-12.4611,130.8418,30.99,66,40,2.06,AU,1701040965
133,saldanha,-33.0117,17.9442,15.03,87,6,5.42,ZA,1701040965
134,hotan,37.0997,79.9269,2.64,31,82,0.69,CN,1701040965
135,hough,36.8709,-101.5771,4.68,82,0,0.58,US,1701040965
136,faya-largeau,17.9257,19.1043,23.93,16,29,9.78,TD,1701040966
137,quimili,-27.6333,-62.4167,22.54,91,87,4.55,AR,1701040966
138,pandan,14.0453,124.1694,26.49,88,74,3.8,PH,1701040966
139,georgetown,5.4112,100.3354,25.96,92,20,1.54,MY,1701040794
140,yaren,-0.5472,166.916,28.74,71,90,1.75,NR,1701040966
141,maracacume,-2.0428,-45.9592,24.4,88,95,1.8,BR,1701040966
142,arkhangel'sk,64.5401,40.5433,-15.49,99,75,1.65,RU,1701040780
143,francisco beltrao,-26.0811,-53.055,18.44,96,100,1.56,BR,1701040966
144,lompoc,34.6391,-120.4579,20.99,30,0,3.6,US,1701040966
145,la'ie,21.6477,-157.9253,28.98,73,100,3.58,US,1701040967
146,ancud,-41.8697,-73.8203,13.57,81,100,0.92,CL,1701040967
